Date,Open,High,Low,Close,Adj Close,Volume
2016-01-01,28513.429688,28864.216797,28273.705078,28763.769531,28763.769531,2402570153
2016-01-02,28782.841797,28878.207031,28600.589844,28704.431641,28704.431641,1993147335
2016-01-03,28713.703125,28724.630859,28096.636719,28467.287109,28467.287109,2623809084
2016-01-04,28470.597656,28897.769531,28404.460938,28842.994141,28842.994141,2562524545
2016-01-05,28841.529297,28875.925781,28606.195313,28734.496094,28734.496094,2296484779
2016-01-06,28727.578125,28727.578125,28475.316406,28630.658203,28630.658203,2271376876
2016-01-07,28691.107422,30699.703125,28691.648438,30651.656250,30651.656250,5859487300
2016-01-08,30617.527344,30918.945313,29928.976563,30292.625000,30292.625000,3809252540
2016-01-09,30302.849609,30386.865234,29868.810547,29917.064453,29917.064453,2157371142
2016-01-10,29958.972656,29963.716797,29431.828125,29957.382813,29957.382813,2407063831
2016-01-11,30004.660156,30145.320313,29649.515625,29950.595703,29950.595703,2701663590
2016-01-12,29934.166016,29934.166016,29155.285156,29155.285156,29155.285156,7736131423
2016-01-13,29086.695313,29090.662109,28364.167969,28940.148438,28940.148438,11638949837
2016-01-14,28934.591797,29027.767578,28761.880859,28960.326172,28960.326172,2957606857
2016-01-15,28956.892578,28956.892578,24688.744141,24688.744141,24688.744141,10391769717
2016-01-16,24739.025391,26465.939453,24050.605469,26261.222656,26261.222656,8155605139
2016-01-17,26235.201172,26493.585938,25756.783203,25912.609375,25912.609375,3071807808
2016-01-18,25874.244141,26275.494141,25496.455078,26214.679688,26214.679688,3683622784
2016-01-19,26205.066406,26219.388672,25669.970703,25760.529297,25760.529297,3172710973
2016-01-20,25732.814453,28895.318359,25517.406250,28553.074219,28553.074219,8270423636
2016-01-21,28512.441406,28721.595703,27559.816406,27818.306641,27818.306641,4633740096
2016-01-22,27783.658203,27828.177734,25357.804688,25833.050781,25833.050781,6182947508
2016-01-23,25829.132813,26646.960938,25798.537109,26170.677734,26170.677734,3798881899
2016-01-24,26211.943359,27398.214844,26171.960938,27216.056641,27216.056641,3702784755
2016-01-25,27171.886719,27171.886719,26307.046875,26534.853516,26534.853516,4000786570
2016-01-26,26553.550781,26996.376953,26486.648438,26575.228516,26575.228516,3940476822
2016-01-27,26594.949219,26977.386719,26549.970703,26934.443359,26934.443359,3234026337
2016-01-28,26946.308594,26973.712891,25856.458984,25894.181641,25894.181641,4034236909
2016-01-29,25881.857422,26093.568359,24885.162109,25754.027344,25754.027344,5845125751
2016-01-30,25712.695313,25851.960938,25551.578125,25671.296875,25671.296875,2055332574
2016-01-31,25673.875000,25813.275391,24968.638672,25031.904297,25031.904297,2572265084
2016-02-01,25071.478516,25646.513672,24963.123047,25322.667969,25322.667969,3506405139
2016-02-02,25313.437500,25533.244141,25307.359375,25456.097656,25456.097656,2745065162
2016-02-03,25469.558594,25545.343750,24999.273438,25128.601563,25128.601563,3120003228
2016-02-04,25143.884766,26440.392578,25131.589844,26321.437500,26321.437500,4681011793
2016-02-05,26274.416016,26424.578125,26141.703125,26207.945313,26207.945313,2971326235
2016-02-06,26210.656250,26213.505859,25247.763672,25528.117188,25528.117188,3339092690
2016-02-07,25527.574219,25822.978516,25444.667969,25561.199219,25561.199219,2516368481
2016-02-08,25570.496094,25767.193359,25414.152344,25421.843750,25421.843750,3245138626
2016-02-09,25420.210938,25661.103516,25424.185547,25541.843750,25541.843750,3757520176
2016-02-10,25549.792969,26138.369141,25523.931641,25910.339844,25910.339844,5779579095
2016-02-11,25941.912109,25987.132813,25757.847656,25995.365234,25995.365234,5092586583
2016-02-12,25997.556641,26271.648438,25971.396484,26171.460938,26171.460938,4566164431
2016-02-13,26197.205078,26688.878906,26197.205078,26688.878906,26688.878906,4216694446
2016-02-14,26761.892578,27735.826172,26761.892578,27735.826172,27735.826172,5072026373
2016-02-15,27758.843750,27950.435547,27095.257813,27266.205078,27266.205078,5046719174
2016-02-16,27351.167969,27993.431641,27351.167969,27914.435547,27914.435547,5007148068
2016-02-17,27925.945313,28801.000000,27878.615234,28457.189453,28457.189453,5686598696
2016-02-18,28474.279297,29190.226563,28410.437500,28959.244141,28959.244141,5262403864
2016-02-19,28983.722656,29008.984375,28620.490234,28838.500000,28838.500000,3818173945
2016-02-20,28894.425781,30291.375000,28894.425781,29961.035156,29961.035156,6441748299
2016-02-21,30002.773438,30706.832031,29406.791016,30121.507813,30121.507813,6165787136
2016-02-22,30134.621094,30138.464844,29717.240234,30017.123047,30017.123047,5855008319
2016-02-23,30051.890625,30181.957031,28640.292969,28862.826172,28862.826172,5847868062
2016-02-24,28877.917969,29153.791016,28385.742188,29055.787109,29055.787109,4631893922
2016-02-25,29061.394531,29261.966797,28815.244141,29206.292969,29206.292969,4870513011
2016-02-26,29212.138672,29700.640625,28976.550781,29700.640625,29700.640625,4225766768
2016-02-27,29747.855469,29843.523438,29422.363281,29725.863281,29725.863281,2879234015
2016-02-28,29729.437500,29943.316406,29128.003906,29793.646484,29793.646484,3644852998
2016-02-29,29789.109375,30205.701172,29669.179688,29857.630859,29857.630859,4140307169
2016-03-01,29872.638672,29995.019531,29427.955078,29476.710938,29476.710938,5073696138
2016-03-02,29477.253906,29483.027344,28570.626953,28570.626953,28570.626953,5050885108
2016-03-03,28565.435547,28621.220703,28272.496094,28309.859375,28309.859375,6746546002
2016-03-04,28322.279297,28605.976563,27503.242188,27503.242188,27503.242188,6080798622
2016-03-05,27492.669922,27524.525391,26371.896484,26809.269531,26809.269531,9061019668
2016-03-06,26806.255859,27568.029297,26488.552734,27307.806641,27307.806641,6109321770
2016-03-07,27311.156250,27884.447266,27245.658203,27777.447266,27777.447266,5749794312
2016-03-08,27787.101563,28016.277344,27667.777344,27882.792969,27882.792969,4735795066
2016-03-09,27877.541016,27905.472656,27696.966797,27854.820313,27854.820313,4700815124
2016-03-10,27847.031250,28095.216797,27765.591797,28075.753906,28075.753906,5453391857
2016-03-11,28082.955078,28447.554688,28071.980469,28215.574219,28215.574219,4949364138
2016-03-12,28209.886719,28222.599609,27439.675781,27542.048828,27542.048828,6203484770
2016-03-13,27543.656250,27875.265625,27543.253906,27726.828125,27726.828125,4976840495
2016-03-14,27735.933594,27926.160156,27735.933594,27972.722656,27972.722656,6398707261
2016-03-15,27969.365234,28119.310547,27927.576172,28076.292969,28076.292969,4498194932
2016-03-16,28080.199219,28081.029297,28011.671875,28007.583984,28007.583984,4378054330
2016-03-17,28066.554688,28042.400391,28066.554688,28017.355469,28017.355469,5563798282
2016-03-18,28012.425781,28012.425781,26956.125000,27183.216797,27183.216797,6965256078
2016-03-19,27164.433594,27278.529297,27029.363281,27242.687500,27242.687500,3877750675
2016-03-20,27239.832031,27520.113281,27239.832031,27462.367188,27462.367188,3049722941
2016-03-21,27440.000000,27440.000000,27298.544922,27492.232422,27492.232422,4101175401
2016-03-22,27480.589844,27915.025391,27461.488281,27912.123047,27912.123047,4460536084
2016-03-23,27916.931641,28057.414063,27856.208984,27966.648438,27966.648438,4110573969
2016-03-24,27992.273438,28001.318359,27781.470703,27860.298828,27860.298828,4572975445
2016-03-25,27867.925781,27942.292969,27799.875000,27875.433594,27875.433594,3512017152
2016-03-26,27887.994141,27996.376953,27814.093750,27926.751953,27926.751953,2983504008
